Timestamp WorkflowId PeakValueRss0 PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize0 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU0 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime0 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1790370000.0 11630.0 NA 161 326 600 0 165 NA NA NA NA NA 244 628 807 0 240 NA NA NA NA NA 68482 336 1895 242 218 NA NA NA NA NA 34486 272 1423 378 351 NA NA NA NA 
1790370000.0 11634.0 NA 150 328 560 0 195 NA NA NA NA NA 193 589 788 0 305 NA NA NA NA NA 29544 341 1597 276 257 NA NA NA NA NA 12819 183 1150 329 306 NA NA NA NA 
1790370000.0 11634.15 NA 107 325 602 0 196 NA NA NA NA NA 205 656 806 0 307 NA NA NA NA NA 22817 352 1599 284 288 NA NA NA NA NA 12589 257 1722 447 536 NA NA NA NA 
1790370000.0 11634.24 NA 124 244 501 0 147 NA NA NA NA NA 175 535 735 0 223 NA NA NA NA NA 1617 219 1189 276 296 NA NA NA NA NA 2531 281 1913 404 417 NA NA NA NA 
1790370000.0 11634.5 NA 147 325 192 0 NA NA NA NA NA NA 204 647 338 0 NA NA NA NA NA NA 20558 313 221 93 NA NA NA NA NA NA 10882 218 255 110 NA NA NA NA NA 
1790370000.0 11634.601 NA 152 316 120 581 0 NA NA NA NA NA 194 612 187 779 0 NA NA NA NA NA 30382 298 78 1528 243 NA NA NA NA NA 12169 256 113 1079 268 NA NA NA NA 
1790370000.0 11634.7 NA 148 323 580 0 NA NA NA NA NA NA 206 623 782 0 NA NA NA NA NA NA 20954 335 1392 264 NA NA NA NA NA NA 11088 254 964 338 NA NA NA NA NA 
1790370000.0 11634.91 NA 114 327 588 0 195 NA NA NA NA NA 191 637 820 0 307 NA NA NA NA NA 23205 324 1598 251 307 NA NA NA NA NA 12086 212 1042 311 401 NA NA NA NA 
1790370000.0 11634.914 NA 144 326 568 0 195 NA NA NA NA NA 188 591 797 0 312 NA NA NA NA NA 28440 288 1498 248 261 NA NA NA NA NA 12439 200 1071 318 281 NA NA NA NA 
1790370000.0 11640.0 NA 141 314 538 0 154 NA NA NA NA NA 184 622 778 0 238 NA NA NA NA NA 8309 274 1071 230 226 NA NA NA NA NA 3373 160 1043 335 270 NA NA NA NA 
1790370000.0 11643.0 NA 154 323 574 0 159 NA NA NA NA NA 199 625 817 0 239 NA NA NA NA NA 30798 432 1671 274 258 NA NA NA NA NA 16400 273 1276 334 325 NA NA NA NA 
1790370000.0 11646.0 NA 141 313 548 0 186 NA NA NA NA NA 200 614 815 0 303 NA NA NA NA NA 13325 298 1121 226 226 NA NA NA NA NA 7244 233 851 320 246 NA NA NA NA 
1790370000.0 117.0 NA 115 202 405 NA NA NA NA NA NA NA 234 491 541 NA NA NA NA NA NA NA 22177 226 855 NA NA NA NA NA NA NA 9279 206 789 NA NA NA NA NA NA 
1790370000.0 11723.17 NA 156 327 590 0 NA NA NA NA NA NA 229 586 835 0 NA NA NA NA NA NA 52300 378 1888 263 NA NA NA NA NA NA 25459 260 1078 285 NA NA NA NA NA 
1790370000.0 118.0 NA 165 201 406 NA NA NA NA NA NA NA 240 492 545 NA NA NA NA NA NA NA 16596 220 794 NA NA NA NA NA NA NA 9577 242 837 NA NA NA NA NA NA 
1790370000.0 120.0 NA 124 195 388 NA NA NA NA NA NA NA 188 488 516 NA NA NA NA NA NA NA 418 200 768 NA NA NA NA NA NA NA 286 161 787 NA NA NA NA NA NA 
1790370000.0 12034.0 NA 107 288 558 0 NA NA NA NA NA NA 196 558 807 0 NA NA NA NA NA NA 22528 319 1350 280 NA NA NA NA NA NA 12948 236 1572 476 NA NA NA NA NA 
1790370000.0 121.0 NA 164 202 408 NA NA NA NA NA NA NA 242 491 553 NA NA NA NA NA NA NA 19301 220 837 NA NA NA NA NA NA NA 11237 228 879 NA NA NA NA NA NA 
1790370000.0 122.0 NA 127 183 379 NA NA NA NA NA NA NA 183 430 540 NA NA NA NA NA NA NA 305 139 661 NA NA NA NA NA NA NA 543 237 858 NA NA NA NA NA NA 
1790370000.0 123.1 NA 365 NA NA NA NA NA NA NA NA NA 791 NA NA NA NA NA NA NA NA NA 448 NA NA NA NA NA NA NA NA NA 749 NA NA NA NA NA NA NA NA 
1790370000.0 123.2 NA 361 NA NA NA NA NA NA NA NA NA 759 NA NA NA NA NA NA NA NA NA 522 NA NA NA NA NA NA NA NA NA 718 NA NA NA NA NA NA NA NA 
1790370000.0 123.3 NA 316 NA NA NA NA NA NA NA NA NA 690 NA NA NA NA NA NA NA NA NA 382 NA NA NA NA NA NA NA NA NA 726 NA NA NA NA NA NA NA NA 
1790370000.0 124.1 NA 354 NA NA NA NA NA NA NA NA NA 781 NA NA NA NA NA NA NA NA NA 380 NA NA NA NA NA NA NA NA NA 707 NA NA NA NA NA NA NA NA 
1790370000.0 124.2 NA 358 NA NA NA NA NA NA NA NA NA 803 NA NA NA NA NA NA NA NA NA 434 NA NA NA NA NA NA NA NA NA 696 NA NA NA NA NA NA NA NA 
1790370000.0 124.4 NA 355 NA NA NA NA NA NA NA NA NA 712 NA NA NA NA NA NA NA NA NA 393 NA NA NA NA NA NA NA NA NA 738 NA NA NA NA NA NA NA NA 
1790370000.0 124.5 NA 355 NA NA NA NA NA NA NA NA NA 760 NA NA NA NA NA NA NA NA NA 396 NA NA NA NA NA NA NA NA NA 683 NA NA NA NA NA NA NA NA 
